Proto_Germanic_Ancestor,Meaning,Target_Old_English,Modern_English,Modern_German,Modern_Dutch,Modern_Swedish
þistilaz,thistle,þistel,thistle,Distel,distel,tistel
þrukkijaną,to press on,þryċċan,thrutch,drücken,drukken,trycka
agjō,"edge, corner",eċġ,edge,Ecke,egge,egg
tūną,fence,tūn,town,Zaun,tuin,tun
slēpaz,sleep,slǣp,sleep,Schlaf,slaap,-
aiganaz,own,āgan,owe,eigen,eigen,egen
þūmô,thumb,þūma,thumb,Daumen,duim,tumme
weraz,man,wer,wer,Wer,-,vär-
haubudą,head,hēafod,head,-,-,huvud
kannijaną,to make known,cennan,ken,kennen,kennen,känna
strīkaną,"to stroke, to rub",strīcan,strike,streiken,strijken,-
sahsą,a stone chip used for cutting,seax,sax,Sachs,zas,sax
widuwǭ,widow,widuwe,widow,Witwe,weduwe,-
wurdą,word,word,word,Wort,woord,ord
wurmiz,worm,wyrm,worm,Wurm,worm,orm
wullō,wool,wull,wool,Wolle,wol,ull
rīkijaz,"kingly, royal, noble",rīċe,rich,reich,rijk,rik
rīkiją,"rulership, government, authority",rīce,Reich,Reich,rijk,rike
karō,"complaint, lament, grievance, moan",caru,care,Karfreitag,kaar,-
walhiskaz,"foreign, non-Germanic (Celtic, later also Roman)",wǣlisċ,Welsh,welsch,Wels,välsk
warjaz,defender,-ware,endware,-er,-er,-are
mainaz,"mean, damaging, hurtful",mān,mean,mein,gemeen,-
mainą,"damage, hurt",mān,manswear,Meineid,meineed,men
biumi,first-person singular present active indicative of *beuną,bēom,bin,bin,ben,-
wēdiz,"piece of cloth, garment",wǣd,weed,Wat,gewaad,våd
wadą,"shallow water, ford",wæd,wath,Watt,wad,vad
wēnijaną,"to hope, to expect",wǣnan,ween,wähnen,wanen,-
wēniz,"hope, expectation",wēn,ween,Wahn,waan,vån
wībą,woman,wīf,wife,Weib,wijf,viv
wīsaz,"wise, knowledgeable",wīs,wise,weise,wijs,vis
wagnaz,"cart, wagon",wæġn,wain,Wagen,wagen,vagn
wahsą,wax,weax,wax,Wachs,was,vax
waikwaz,"weak, soft, pliable",wāc,weak,weich,week,vek
waikwijaną,"to make weak, to weaken, to soften",wǣcan,-,weichen,weken,-
blōmô,flower,blōma,bloom,Blume,bloem,blomma
īsarną,iron,īsern,iron,Eisen,ijzer,jern
arsaz,"arse/ass, anus, buttocks",ears,arse,Arsch,aars,arsel
askǭ,"ash, ashes",æsċe,ash,Asche,as,aska
bankiz,raised surface; bulge; hillock; slope,benċ,bench,Bank,bank,bänk
bannaną,"to proclaim, to order",bannan,ban,bannen,bannen,banna
baukną,"sign, symbol",bēacn,beacon,Bake,baken,båken
baunō,bean,bēan,bean,Bohne,boon,böna
blankaz,"bright, shining, white, gleaming, blinding",blanc,blank,blank,blank,blank
gardaz,enclosure,ġeard,yard,-,gaard,gård
bladą,leaf (of a plant),blæd,blade,Blatt,blad,blad
blaikaz,"pale, white",blāc,blake,bleich,bleek,blek
blaikijaną,"to bleach, to make pale, to whiten",blǣċan,bleach,bleichen,bleken,bleka
draumaz,dream,drēam,dream,Traum,droom,dröm
wīkwaną,"to yield, cease, fold",wīcan,wick,weichen,wijken,vika
walþuz,forest,weald,wold,Wald,woud,vall
sēdiz,seed,sǣd,seed,Saat,zaad,säd
sūraz,"sour, acidic",sūr,sour,sauer,zuur,sur
sairaz,"sore, painful",sār,sore,sehr,zeer,sår
grēwaz,grey,grǣġ,gray,grau,grauw,grå
grasą,grass,græs,grass,Gras,gras,gräs
grautaz,"coarse, crude",grēat,great,groß,groot,-
hōfaz,hoof,hōf,hoof,Huf,hoef,hov
nēþlō,needle,nǣdl,needle,Nadel,naald,nål
mēlą,"time, occasion",mǣl,meal,Mahl,maal,mål
maþô,"maggot, worm",maþa,mad,Made,made,-
magô,stomach,maga,maw,Magen,maag,mage
leuhtaz,"light, bright",lēoht,light,licht,licht,-
leuhtą,light,lēoht,light,Licht,licht,-
missadēdiz,"misdeed, wrongful act",misdǣd,misdeed,Missetat,misdaad,missdåd
fōdrą,fodder,fōdor,fodder,Futter,voeder,foder
fōdrą,sheath,fōdor,-,Futter,voer,foder
fūlaz,"foul, dirty",fūl,foul,faul,vuil,ful
sīdǭ,side,sīde,side,Seite,zijde,sida
sinkwaną,to sink,sincan,sink,sinken,zinken,sjunka
sankwijaną,to cause to sink,sencan,-,senken,*zenken,sänka
saltaz,salty,sealt,salt,-,zout,salt
saltaną,"to salt, pickle",sealtan,salt,salzen,zouten,salta
singwaną,to sing,singan,sing,singen,zingen,sjunga
sangwaz,"singing, song",sang,song,Song,song,sång
rūmaz,"roomy, spacious, open",rūm,room,raum,ruim,rum
rūmą,"room, open space",rūm,room,Raum,ruim,rum
lēkijaz,"doctor, physician",lǣċe,leech,-,-,läkare
-isōną,Creates denominatives from adjectives or nouns.,-sian,-se,-sen,-zen,-sa
-inōną,"Creates denominatives from nouns referring to persons, meaning to be or perform the duties of that person.",-nian,-en,-,-,-na
-atjaną,"Creates verbs from nouns and adjectives, similar to -ise/-ize.",-ettan,yeet,-zen,-,-ta
līkāną,"to conform, to be of an agreeable kind",līcian,like,liken,liken,lika
galīkōną,"to be like, to resemble",ġelīcian,-,gleichen,gelijken,-
hataz,hate,hete,hate,Hass,haat,hat
windaną,"to wind, to wrap",windan,wind,winden,winden,vinda
wandijaną,to turn,wendan,wend,wenden,wenden,vända
furhtijaną,"to frighten, make afraid",fyrhtan,fright,fürchten,vruchten,-
garwaz,"ready, prepared",ġearu,yare,gar,gaar,-
garwijaną,to prepare,ġierwan,gar,gerben,gerven,garva
lausijaną,to make loose,līesan,leese,lösen,lozen,lösa
fraleusaną,"to lose, to cease to have",forlēosan,forlese,verlieren,verliezen,förlora
warmijaną,"to warm, to heat",wierman,warm,wärmen,warmen,värma
laistaz,"track, trace",lāst,last,Leisten,leest,läst
laistijaną,"to track, follow",lǣstan,last,leisten,leesten,-
wrōgijaną,"to tell, speak, proclaim, shout",wrēġan,-,rügen,wroegen,röja
huljaną,"to cover, veil",hyllan,hill,hüllen,hullen,hölja
saljaną,"to offer, give",sellan,sell,sellen,sellen,sälja
warjaną,"to ward off, to defend against",werian,weir,wehren,weren,värja
siwjaną,to sew,siwian,sew,-,-,sy
salbō,"salve, ointment",sealf,salve,Salbe,zalf,salva
laþōną,"to invite, to call",laþian,lathe,laden,laden,-
sibjō,"relationship, kinship",sibb,sib,Sippe,sibbe,-
sibjōną,to reconcile,sibbian,sib,sippen,-,-
fiskōną,"to fish, to catch fish",fiscian,fish,fischen,vissen,fiska
markō,"border, boundary",mearc,mark,Mark,mark,mark
daniz,a Dane,Dene,Dane,Däne,Deen,dan
mundō,hand,mund,mound,Mund,mond,-
nēhw,"near, close",nēah,nigh,nahe,na,-
furduz,ford,ford,ford,Förde,voorde,-
linhtaz,light (in weight),lēoht,light,leicht,licht,lätt
rakjaną,"to stretch, straighten, straighten out",reċċean,reche,recken,rekken,räcka
smītaną,to cast; sling; hurl,smītan,smite,schmeißen,smijten,smita
brūnaz,brown,brūn,brown,braun,bruin,brun
blakaz,burnt,blæc,black,blach,blak,-
sadaz,"full, sated",sæd,sad,satt,zat,-
hē₂r,"here, in this place",hēr,here,hie,hier,här
sterbaną,to become stiff,steorfan,starve,sterben,sterven,-
wrōts,root,wyrt,wort,Wurz,-,rot
wurt-,oblique stem of *wrōts,wyrt,wort,Wurz,-,ört
waluz,"staff, stick",walu,wale,-,-,val
rankaz,"erect, upright",ranc,rank,rank,rank,rank
-ōzô,-er. Forms the comparative of certain adjectives.,-ra,-er,-er,-er,-are
natją,net,nett,net,Netz,net,nät
midjaz,"middle, mid",midd,mid,Mitte,mid-,mid-
unmahtiz,inability,unmeaht,unmight,Unmacht,onmacht,-
sēliz,"happy, fortunate",sēl,seel,-,-,säll
unsēliz,"unhappy, unfortunate, poor",unsǣle,unseel,-,-,usel
-þuz,"Forms result nouns from verb roots, usually from strong verbs.",-þ,-th,-de,-t,-d
-þiz,"Forms abstract nouns from verb roots, usually from strong verbs.",-þ,-th,-d,-d,-d
lustuz,"lust, desire, want",lust,lust,Lust,lust,lust
unlustuz,"apathy, listlessness, lack of desire",unlust,unlust,Unlust,onlust,olust
unrehtaz,"wrong, bad, unjust",unriht,unright,unrecht,onrecht,orätt
getaną,to find or make a way,ġetan,yet,-,-,gitta
fullį̄,fullness,fyllu,fill,Fülle,-,fylle
managį̄,"multitude, variety",maneġu,many,Menge,-,mänge
glōaną,to glow,glōwan,glow,glühen,gloeien,glo
hnuts,nut,hnutu,nut,Nuss,noot,nöt
mundiz,"thought, remembrance",mynd,mind,-,-,mynd
gunþiz,battle,gūþ,Gunn,-,-,Gun
farhaz,"pig, piglet",fearh,farrow,Ferkel,varken,fargalt
þarmaz,intestine,þearm,tharm,Darm,darm,tarm
hertô,heart,heorte,heart,Herz,hart,hjärta
uzdaz,sharp point,ord,ord,Ort,oord,ort
halsaz,"neck, throat",heals,halse,Hals,hals,hals
hwīlō,"time, period of time, while",hwīl,while,Weile,wijl,vila
swefnaz,sleep,swefn,sweven,-,-,sömn
nefô,nephew,nefa,neve,Neffe,neef,-
frōdaz,"wise, experienced, knowledgeable",frōd,frood,-,vroed,frod
wahstuz,"size, growth",*wæhst,waist,-,-,växt
landą,"land, area of ground",land,land,Land,land,land
silubrą,silver,seolfor,silver,Silber,zilver,silver
flugiz,"flight, flying",flyge,fly,Flug,vleug,-
habanō,"harbour, haven",hæfen,haven,Hafen,haven,hamn
hufą,"hill, elevated place",hof,hovel,Hof,hof,hov
teldą,"tent, drape",teld,teld,Zelt,telde,tält
masōną,"to labour, struggle with, be confused",*masian,maze,-,-,masa
unwedrą,"bad weather, storm",unweder,unweather,Unwetter,onweder,oväder
siduz,"custom, habit, practice",sidu,-,Sitte,zede,sed
spīwaną,"to spew, to spit",spīwan,spew,speiben,spuwen,spy
hangistaz,"horse, stallion",henġest,henchman,Hengst,hengst,hingst
lubą,praise,lof,lofe,Lob,lof,lov
lubōną,to praise,lofian,lofe,loben,loven,lova
wabją,something woven,webb,web,Spinnwebe,web,väv
wargaz,"outlaw, criminal",wearg,wargus,-,warg,varg
funkô,spark,*funca,funk,Funke,vonk,-
harpǭ,harp (plucked string instrument),hearpe,harp,Harfe,harp,harpa
flaskǭ,a plaiting-covered vessel,flasce,flask,Flasche,fles,flaska
stukkiją,stump,styċċe,stitch meale,Stück,stuk,stycke
minnisōną,"to make less, make smaller",minsian,minse,-,-,minska
minniz,"less, to a smaller degree",min,min,min,min,-
jainar,"over there, yonder",ġeonre,yonder,-,ginder,-
albiz,elf,ielf,elf,Alb,alf,älva
albī,river,Ælf,-,Elbe,-,älv
twisilą,"fork, bifurcation",twisla,twissel,Zwiesel,-,-
gautaz,a heiti for Odin,Gēat,Geat,-,-,göt
eutaz,a member of the Jutes; a Jute,Ēotas,Jute,Jüte,Juut,jute
þeuhą,thigh,þēoh,thigh,Diech,dij,-
ūt,"out, outward",ūt,out,aus,uit,ut
būkaz,"belly, abdomen",būc,bouk,Bauch,bok,buk
wissaz,"certain, sure",wiss,-,-,wis,viss
ajją,egg,ǣġ,ey,Ei,ei,ägg
aldaz,"old, grown up",eald,old,oll,oud,-
trewą,tree,trēow,tree,Affolter,teer,trä
faþmaz,outstretched arms,fæþm,fathom,Faden,vadem,famn
anadô,breath,anda,eand,Ahnd,-,ande
buhtiz,"bend, curve, arch, angle; corner",byht,bight,Bucht,bucht,bukt
burdą,"board, plank",bord,board,Bord,bord,bord
unþī,wave,ȳþ,-,Unde,onde,-
kwikwaz,alive,cwic,quick,quick,kwik,käck
brūwō,eyebrow,brū,brow,-,-,bryn
brēwō,eyebrow,brǣw,bree,Braue,brauw,-brå
kwenǭ,woman,cwene,quean,Queene,kween,kåna
bōguz,upper arm,bōg,bough,Bug,boeg,bog
blōaną,"to bloom, to flower",blōwan,blow,blühen,bloeien,-
anadz,duck,ened,ende,Ente,eend,and
bergaz,"hill, mountain",beorg,barrow,Berg,berg,berg
haisiz,command,hǣs,hest,Geheiß,-,-
ēsą,"food, carrion",ǣs,yess,Aas,aas,as
hanhaną,to hang,hōn,hang,hängen,hangen,hänga
lauhaz,clearing,lēah,leigh,Loh,lo,-
kambaz,comb,camb,comb,Kamm,kam,kam
knudaną,to knead,cnedan,knead,kneten,kneden,knåda
trudaną,"to tread, to step on",tredan,tread,treten,treden,träda
mīganą,to urinate,mīgan,-,-,miegen,miga
stīganą,"to go up; climb, ascend",stīgan,sty,steigen,stijgen,stiga
swehuraz,father-in-law,swēor,-,Schwäher,zweer,svär-
marhijō,"mare, female horse",mīere,mare,Mähre,merrie,märr
haftaz,"captive, bound",hæft,-,-haft,-acht,-
spurnaną,"to kick, to trample",spurnan,spurn,anspornen,-,spjärna
skītaną,"to defecate, to shit",sċītan,shit,scheißen,schijten,skita
grīpaną,"to grab, grasp",grīpan,gripe,greifen,grijpen,gripa
nestą,nest,nest,nest,Nest,nest,näste
webaną,to weave,wefan,weave,weben,weven,väva
samdaz,sand,sand,sand,Sand,zand,sand
mizdō,reward,mēd,meed,Miete,miede,-
gelwaz,yellow,ġeolu,yellow,gelb,geel,gull
swegrō,mother-in-law,sweġer,-,Schwieger,zweger,-
snuzō,daughter-in-law,snoru,-,Schnur,snaar,-
banô,"murderer, killer, slayer",bana,bane,-,-,bane
berô,bear,bera,bear,Bär,beer,-
sīhwaną,to filter,sīon,sie,seihen,zien,-
hnīwaną,to bow,hnīgan,-,neigen,nijgen,niga
sagjaz,sedge,seċġ,sedge,Segge,zegge,-
ahsō,axle,eax,-,Achse,as,-
wiftiz,weaving,wift,weft,-,-,väft
kluftiz,splitting,ġeclyft,cleft,Kluft,klucht,klyft
druhtinaz,"leader, lord, sovereign",dryhten,drighten,Trechtein,-,drotten
driftiz,driving,*drift,drift,Drift,drift,drift
giftiz,"giving, gift",ġift,gift,Gift,gift,gift
suhtiz,sickness,suht,-,Sucht,zucht,sot
slīkaną,"to slide, to slip",*slīcan,slike,schleichen,-,-
slihtaz,slippery,sliht,slight,schlecht,slecht,slät
andijaz,"the endpoint of something, whether the front end or back end",ende,end,Ende,eind,ände
arbiją,"heritage, inheritance",ierfe,erf,Erbe,erf,-
arjaną,to plough/plow,erian,ear,-,-,ärja
hrawaz,"raw, uncooked",hrēaw,raw,roh,rauw,rå
fellą,"skin, hide",fell,fell,Fell,vel,fjäll
kinnuz,cheek,ċinn,chin,Kinn,kin,kind
þanjaną,"to stretch, to extend",þennan,-,dehnen,-,tänja
baitaz,"boat, ship",bāt,boat,Boot,boot,-
fneusaną,to sneeze,fnēosan,sneeze,pfnausen,fniezen,fnysa
hneusaną,to sneeze,*hnēosan,neeze,niesen,niezen,nysa
flahaną,"to skin, to flay",flēan,flay,-,-,flå
bakaną,to bake,bacan,bake,backen,bakken,baka
swabjaną,to put to sleep,swebban,sweb,-,-,sväva
frawerþaną,to perish,forweorþan,forworth,-,verworden,-
pūkô,"hunchback, goblin, spook",pūca,puck,-,peuk,puke
hrōpaną,"to cry out, call, shout",hrōpan,roop,rufen,kroep,ropa
kraftuz,"strength, power, prowess",cræft,craft,Kraft,kracht,kraft
snellaz,"active, bold, quick",snel,snell,schnell,snel,snäll
sanþaz,"true, truthful, correct",sōþ,sooth,-,-,sann
ainafalþaz,"onefold, simple",ānfeald,onefold,einfältig,eenvoud,enfaldig
hairaz,grey,hār,hoar,hehr,heerlijk,-
swēraz,heavy,swǣr,sweer,schwer,zwaar,svår
talō,"narration, speech",talu,tale,Zahl,taal,tala
barną,child,bearn,barn,-,baren,barn
hanapiz,hemp,henep,hemp,Hanf,hennep,hampa
lamjaną,"to bash, hit",lemman,-,lähmen,lemmen,lämma
leubaz,"dear, beloved",lēof,lief,lieb,lief,ljuv
staumaz,"steam, vapour",stēam,steam,-,stoom,stimma
ufta,oft; often; frequently,oft,oft,oft,oft,ofta
þauh,"nevertheless, though",þēah,though,doch,doch,dock
bikjǭ,bitch (female dog),biċċe,bitch,Betze,bitch,bycka
haliþaz,hero,hæle,health,Held,held,hjälte
dalą,"valley, dale",dæl,dale,Tal,dal,dal
flōraz,ground,flōr,floor,Flur,vloer,flo
grunduz,"ground, foundation",grund,ground,Grund,grond,grund
rōþrą,oar,rōþor,rudder,Ruder,roer,roder
seglą,sheet,seġl,sail,Segel,zeil,segel
hwerbaną,to turn; turn around,hweorfan,wharve,werben,werven,värva
werpaną,to throw,weorpan,warp,werfen,werpen,värpa
hundaradą,a great hundred (120),hundred,hundred,hundert,honderd,hundra
hlutą,"lot, share",hlot,lot,Lotterie,lot,lotto
mazgą,marrow,mærh,marrow,Mark,merg,märg
weraldiz,"lifetime, worldly existence",weorold,world,Welt,wereld,värld
barkuz,bark of a tree,barc,bark,Borke,bark,bark
birkijǭ,birch,bierċe,birch,Birke,berk,-
wēpną,weapon,wǣpn,weapon,Wappen,wapen,vapen
hamaraz,hammer,hamor,hammer,Hammer,hamer,hammare
skinþą,animal hide,scinn,skin,Schinde,schinde,skinn
slītaną,to tear apart,slītan,slit,schleißen,slijten,slita
bōkstabaz,a staff made of beechwood,bōcstæf,bookstaff,Buchstab,boekstaaf,bokstav
rattaz,rat,rætt,rat,Ratte,rat,-
balkô,"beam, balk",balca,balk,Balken,balk,balk
fruskaz,frog,frosc,frosk,Frosch,vors,-
nurþrą,"north, northern",*norþ,north,Nord,-,norr
surgō,"worry, care, sorrow",sorg,sorrow,Sorge,zorg,sorg
surgāną,"to worry, be concerned",sorgian,sorrow,sorgen,zorgen,sörja
rukkaz,a robe; jacket; skirt; tunic,rocc,rock,Frack,rok,frack
raukiz,"smoke, vapour",rēc,reek,Rauch,rook,rök
reukaną,"to smoke, to give off a vapour",rēocan,reek,riechen,ruiken,ryka
skillingaz,shilling (coin),sċilling,shilling,Schilling,schelling,skilling
sturjô,sturgeon,styria,-,Stör,steur,stör
gallǭ,"gall, bile",galla,gall,Galle,gal,galle
sunþrą,south,sūþ,south,Süd,zuid,söder
taglą,hair; ponytail,tæġl,tail,Zagel,teil,tagel
austrą,east,ēast,east,Ost,oost,öster
pusô,"bag, sack, scrip",pusa,purse,-,-,påse
hōfą,necessity,behōf,behoof,Behuf,behoef,behov
beuzą,beer,bēor,beer,Bier,bier,bjor
blēstuz,"blast, burst of wind, breeze",blǣst,blast,Blast,blast,blåst
aikwernô,squirrel,ācweorna,con,Eichhorn,eekhoorn,ekorre
aizō,fear; reverence,ār,-,Ehre,eer,ära
balgiz,bag,bielġ,belly,Balg,balg,bälg
straumaz,"stream, current, river",strēam,stream,Strom,stroom,ström
igilaz,hedgehog,iġil,-,Igel,egel,igel
frawjǭ,"lady, wife of a lord (woman of high standing)",frōwe,vrou,Frau,vrouwe,fru
westrą,west,*west,west,West,west,väster
kukkaz,"cock, rooster, chicken",cocc,cock,Kock,kok,kuk
hanjō,hen,henn,hen,Henne,hen,-
hanô,"rooster, cock",hana,-,Hahn,haan,hane
uzlagą,"fate, destiny",orlæġ,orlay,-,oorlog,örlog
kulą,coal,col,coal,Kohle,kool,kol
hōrǭ,"whore, adulteress",hōre,whore,Hure,hoer,hora
hōrą,adultery,hōr,-,Hur,-,hor
drahtuz,"pulling, carrying",*dræht,draught,Tracht,dracht,drakt
haldaną,"to hold, to keep",healdan,hold,halten,houden,hålla
blēsaną,to blow,*blǣsan,blaze,blasiert,blazen,blåsa
stautaną,"to push, to bump, to jolt",*stēatan,-,stoßen,stoten,-
waskaną,to wash,wascan,wash,waschen,wassen,vaska
grabaną,to dig,grafan,grave,graben,graven,grava
puttaz,"pot, jar, tub",pott,pot,Pott,pot,pott
bōniz,"supplication, prayer",bēn,ben,-,-,bön
wihtą,"thing, creature",wiht,wight,Wicht,wicht,-
wihtiz,"essence, being",wiht,wight,Wicht,wicht,vätte
wihtiz,weight,wihte,weight,Wucht,wicht,vikt
brunjǭ,breastplate,byrne,byrnie,Brünne,-,brynja
apô,"ape, monkey",apa,ape,Affe,aap,apa
gatą,"hole, opening, passage",gat,gate,Gate,gate,gatt
musą,"moss, bog",mos,moss,Moos,mos,mosse
dūkaną,"to duck, to dive under",*dūcan,duck,tauchen,duiken,dyka
klaiþą,cloth,clāþ,cloth,Kleid,kleed,kläde
skagriz,a beard,sċeacga,shag,-,scheg,skägg
leuskô,groin,lēosċa,lesk,-,lies,ljumske
maiskaz,"mixture, mash",*māsċ,mash,Mischmasch,-,mäsk
skaduz,a shadow,sċeadu,shade,Schatten,schaduw,-
skarną,"filth, dung",sċearn,sharn,Schierling,scharn,skarn
skaubaz,"bundle, sheaf",sċēaf,sheaf,Schof,schoof,-
skinō,plate; rim,sċinu,shin,Schiene,scheen,skena
knīfą,"knife, pinch, squeeze",cnīf,knife,Kneif,knijf,kniv
keulaz,ship,ċēol,-,Kiel,tjalk,-
nasō,nose,nasu,-,Nase,naas,nos
neurô,kidney,*nēora,neer,Niere,nier,njure
helmô,"handle, especially for steering a boat: helm, tiller",helma,helm,Holm,helm,-
skalō,"shell, husk",sċealu,shale,Schale,schaal,-
karilaz,free man,ċeorl,churl,Kerl,kerel,karl
sinþaz,"journey, way, path",sīþ,sith,-,-,(någon-)sin
harugaz,Sanctuary; halidom; grove.,hearg,Harrow,-,-,harg
luþô,"woollen fabric, garment",loþa,loden,Lode,loden,-
lībą,body,līf,life,Leib,lijf,liv
luhsaz,lynx,lox,los,Luchs,los,lo
saipǭ,soap,sāpe,soap,Seife,zeep,såpa
liþugaz,"flexible, free, unoccupied",liþiġ,lithy,ledig,leeg,ledig
taihwǭ,toe,tā,toe,Zehe,teen,tå
mōsą,"wet food, mush, porridge",mōs,mush,Mus,moes,mos
manō,mane,manu,mane,Mähne,maan,man
wunskijaną,"to wish, to desire",wȳsċan,wish,wünschen,wensen,önska
brestaną,"to burst, break, sunder, split, crack",berstan,burst,bresten,barsten,brista
sūliz,"beam, post",sȳl,sile,Säule,zuil,sula
tiną,tin (metal),tin,tin,Zinn,tin,tenn
bandijaną,"To bind, fetter, restrain; stretch",bendan,bend,-,-,bända
etunaz,an eater,ent,ent,-,-,jätte
hrussą,horse,hors,horse,Ross,ros,hors
strikiz,line,strica,streak,Strich,streek,streck
strangiz,string,streng,string,String,string,sträng
skuldiz,obligation,sċyld,-,Schuld,schuld,skuld
dulaz,"confused, stunned",dol,dull,doll,dol,-
dungijǭ,earthen mound,dynċġe,midding,-,donk,dynga
dungō,"earth, dirt",dung,dung,-,dong,-
rekô,"a straightener, especially a device used for straightening or detangling (e.g. threads, strings, ropes, etc.)",raca,rake,Rechen,reek,-
panningaz,"a coin, penny",penning,penny,Pfennig,penning,penning
swinganą,to swing,swingan,swing,schwingen,swingen,svinga
katilaz,"kettle, bucket, vessel",ċietel,kettle,Kessel,ketel,kætil
badją,bed,bedd,bed,Bett,bed,bädd
sagō,saw (tool),sagu,saw,Säge,zaag,såg
haslaz,hazel,hæsl,hazel,Hasel,hazel,hassel
sagǭ,story,saga,saw,Sage,sage,saga
ūraz,aurochs,ūr,aurochs,Ur,uuros,uroxe
furistaz,"first, foremost",fyrest,first,Fürst,vorst,först
friskaz,fresh,fersċ,fresh,frisch,vers,frisk
baþą,bath,bæþ,bath,Bad,bad,bad
widuz,wood,widu,wood,-,wede,ved
hultą,wood,holt,holt,Holz,hout,holt
listiz,"art, craft",list,list,List,list,list
fōdô,food; nourishment,fōda,food,-,-,föda
fōdijaną,to feed,fēdan,feed,-,voeden,föda
fertaną,"to break wind, fart",*feortan,fart,farzen,-,fjärta
miltiją,spleen,milt,-,Milz,milt,mjälte
drupô,a drop (of liquid),dropa,drop,Tropfe,drop,droppe
ahslō,shoulder,eaxl,axle,Achsel,oksel,axel
maltą,malt,mealt,malt,Malz,mout,malt
parrukaz,fence,pearroc,parrock,Park,park,pärk
spellą,"news, message",spell,spell,-,-,spjäll
bankô,"bank, embankment",*banca,bank,-,-,backe
raumaz,skin; film,rēam,ream,Raum,room,råm
laidō,a leading,lād,lode,Leite,lei,lejd
lauþrą,"nitre used as soap, soap",lēaþor,lather,-,-,lödder
hlahtraz,laughter,hleahtor,laughter,-,lachter,-
mīþaną,"To avoid, evade, shun",mīþan,-,meiden,mijden,-
skurtaz,short,sċort,short,Schurz,schort,-
hrugjaz,back,hryċġ,ridge,-,rug,rygg
lubją,"wort, herb",lybb,lib,Luppe,-,lev
haitaz,hot,hāt,hot,heiß,heet,het
gellaną,"to shout, to yell",ġiellan,yell,gellen,gillen,gälla
diupiþō,"deepness, depth",*dīepþ,depth,-,diepte,dyft
alþį̄,"oldness, eld",ild,eld,Älte,oude,-
senawō,"cord, tendon, sinew; nerve",sinu,sinew,Sehne,zenuw,sena
faludaz,a hurdle; fence,fald,fold,-,vaalt,fålla
felþuz,"field, plain",feld,field,Feld,veld,fält
triwwiþō,"promise, contract",trēowþ,troth,-,-,trygd
wanduz,mole (animal),wand,want,-,-,vand
sakō,quarrel,sacu,sake,Sache,zaak,sak
hlināną,to lean,hleonian,lean,lehnen,leunen,-
hlainijaną,"to lean, cause to lean",hlǣnan,lean,leinen,leunen,läna
lēziz,empty,*lǣre,leer,leer,laar,-
hwīnaną,"to rush, make a rushing sound, whizz, hiss, squeal, whine",hwīnan,whine,-,-,vina
laubijaną,"to allow, approve of",līefan,leave,lauben,-,-
nutō,"use, profit, yield",notu,note,Nutz,-,-
launą,"reward, credit, booty",lēan,guerdon,Lohn,loon,lön
taikną,"indicator, indication (e.g. mark, sign, token, symbol, etc.)",tācn,token,Zeichen,teken,tecken
knībaz,pincers; shears,cnīf,knife,Kneip,knijf,knif
herutaz,"hart, stag",heorot,hart,Hirsch,hert,hjort
baką,"back, rear",bæc,back,huckepack,-,bak
bijǭ,bee,bēo,bee,Beie,bij,bi
bellǭ,bell,belle,bell,-,bel,bjällra
askaz,ash tree,æsċ,ash,Esche,es,ask
buskaz,"thicket, brushwood, small wood",bysċ,bush,Busch,bos,buske
þekuz,thick,þicce,thick,dick,dik,tjock
hunagą,honey,huniġ,honey,Honig,honig,-
daljō,a dell,dell,dell,Delle,del,-
gallô,"infirmity, weakness",ġealla,gall,Galle,-,gall
dammaz,dam,*damm,dam,Damm,dam,damm
gaistaz,"terror, fear",gāst,ghost,Geist,geest,gast
hradaz,"quick, hasty",hræd,-,-,rad,rad
diurijaz,"dear, precious",dīere,dear,teuer,dier,dyr
diuriþō,"dearness, costliness, preciousness",*dīerþu,dearth,-,duurte,dyrd
wraiþaz,"twisted, curled, bent, wry, uneven",wrāþ,wrath,-,wreed,vred
haljō,"the netherworld, the underworld, hell",hell,hell,Helle,hel,ihjäl
gīslaz,hostage,ġīsel,-,Geisel,gijzel,gisslan
bōþlą,"house, dwelling",botl,bottle,-,boedel,bol
butmaz,bottom; foundation,bodan,bottom,Boden,bottom,botten
lataz,"slow, sluggish",læt,late,lass,laat,lat
glaimiz,"brightness, splendour",glǣm,gleam,Gleim,-,-
stagą,a stay (rope),stæġ,stay,Stag,stag,stag
greutą,grit,grēot,grit,Grieß,grit,gryt
furhnō,trout,forn,-,Forelle,voorn,färna
kruppaz,a body; mass,cropp,crop,Kropf,krop,kropp
meltǭ,spleen,milte,milt,-,milt,mjälte
supô,"soup, broth",sopa,sop,Suppe,zoopje,soppa
smalaz,small,smæl,small,schmal,smal,smal
-ilingaz,"Forms noun-derivatives with sense of 'belonging to, coming from, descending from', often with a diminutive force.",-ling,-ling,-ling,-ling,-ling
sūganą,to suck,sūgan,-,saugen,zuigen,suga
sūkaną,to suck,sūcan,suck,-,zuiken,-
stōlaz,stool,stōl,stool,Stuhl,stoel,stol
hanhilaz,heel (of the foot),hēla,heel,-,hiel,häl
wrangaz,"twisted, warped, bent, crooked, wry",wrang,-,-,wrang,vrång
rōō,"calm, quiet",rōw,roo,Ruhe,-,ro
bedą,"prayer, entreaty",bed,bead,Bet,-,-
